eps 94 : 47564.0582171 with explore rate: 0.116635175422 , time: 129
eps 95 : 47440.5325423 with explore rate: 0.115468823668 , time: 128
eps 96 : 48214.3762996 with explore rate: 0.114314135431 , time: 129
eps 97 : 47580.520286 with explore rate: 0.113170994077 , time: 129
eps 98 : 47890.8104062 with explore rate: 0.112039284136 , time: 129
eps 99 : 47256.6720273 with explore rate: 0.110918891295 , time: 130
eps 100 : 47182.2547539 with explore rate: 0.109809702382 , time: 129
eps 101 : 46954.0701058 with explore rate: 0.108711605358 , time: 129
eps 102 : 47540.5139271 with explore rate: 0.107624489305 , time: 129
eps 103 : 46518.4043154 with explore rate: 0.106548244412 , time: 129
eps 104 : 47117.1437852 with explore rate: 0.105482761967 , time: 129
eps 105 : 46886.5607647 with explore rate: 0.104427934348 , time: 129
eps 106 : 46822.3143243 with explore rate: 0.103383655004 , time: 130
eps 107 : 46629.3370919 with explore rate: 0.102349818454 , time: 129
eps 108 : 46590.6607529 with explore rate: 0.10132632027 , time: 130
eps 109 : 46516.4510089 with explore rate: 0.100313057067 , time: 129
eps 110 : 46730.5140473 with explore rate: 0.0993099264963 , time: 129
eps 111 : 46545.8686684 with explore rate: 0.0983168272313 , time: 129
eps 112 : 46981.7364001 with explore rate: 0.097333658959 , time: 129
eps 113 : 46414.4328304 with explore rate: 0.0963603223694 , time: 130
eps 114 : 46423.4685687 with explore rate: 0.0953967191457 , time: 129
eps 115 : 46617.0457593 with explore rate: 0.0944427519543 , time: 130
eps 116 : 47100.000317 with explore rate: 0.0934983244347 , time: 129
eps 117 : 46447.3479799 with explore rate: 0.0925633411904 , time: 130
eps 118 : 46091.7574847 with explore rate: 0.0916377077785 , time: 129
eps 119 : 46743.0615259 with explore rate: 0.0907213307007 , time: 129
eps 120 : 46742.8151613 with explore rate: 0.0898141173937 , time: 129
eps 121 : 47034.9958727 with explore rate: 0.0889159762198 , time: 130
eps 122 : 47277.6954909 with explore rate: 0.0880268164576 , time: 130
eps 123 : 47441.514468 with explore rate: 0.087146548293 , time: 130
eps 124 : 47397.0815472 with explore rate: 0.0862750828101 , time: 130
eps 125 : 47678.5540525 with explore rate: 0.085412331982 , time: 130
eps 126 : 47367.0677345 with explore rate: 0.0845582086621 , time: 130
eps 127 : 47428.8409303 with explore rate: 0.0837126265755 , time: 130
eps 128 : 47901.7789988 with explore rate: 0.0828755003098 , time: 130
eps 129 : 47575.7651497 with explore rate: 0.0820467453067 , time: 130
eps 130 : 47708.3097402 with explore rate: 0.0812262778536 , time: 130
eps 131 : 47634.6814953 with explore rate: 0.0804140150751 , time: 130
eps 132 : 47545.8191011 with explore rate: 0.0796098749243 , time: 130
eps 133 : 47764.4858068 with explore rate: 0.0788137761751 , time: 130
eps 134 : 47249.1964284 with explore rate: 0.0780256384133 , time: 131
eps 135 : 47844.7110231 with explore rate: 0.0772453820292 , time: 130
eps 136 : 47674.9337146 with explore rate: 0.0764729282089 , time: 130
eps 137 : 47720.8714044 with explore rate: 0.0757081989268 , time: 130
eps 138 : 47157.4705551 with explore rate: 0.0749511169375 , time: 130
eps 139 : 46970.333011 with explore rate: 0.0742016057682 , time: 131
eps 140 : 46717.5898452 with explore rate: 0.0734595897105 , time: 130
eps 141 : 47818.068931 with explore rate: 0.0727249938134 , time: 131
eps 142 : 47532.1303269 with explore rate: 0.0719977438752 , time: 130
eps 143 : 47381.0068483 with explore rate: 0.0712777664365 , time: 131
eps 144 : 47864.2560178 with explore rate: 0.0705649887721 , time: 130
eps 145 : 47585.8893926 with explore rate: 0.0698593388844 , time: 131
eps 146 : 47379.7552474 with explore rate: 0.0691607454956 , time: 131
eps 147 : 47568.4883086 with explore rate: 0.0684691380406 , time: 131
eps 148 : 47796.0869869 with explore rate: 0.0677844466602 , time: 131
eps 149 : 47915.3038475 with explore rate: 0.0671066021936 , time: 131
eps 150 : 47344.70992 with explore rate: 0.0664355361717 , time: 131
eps 151 : 47405.4381221 with explore rate: 0.0657711808099 , time: 131
eps 152 : 47249.9124271 with explore rate: 0.0651134690018 , time: 131
eps 153 : 47808.1810297 with explore rate: 0.0644623343118 , time: 131
eps 154 : 47653.3833942 with explore rate: 0.0638177109687 , time: 131
eps 155 : 46741.5854542 with explore rate: 0.063179533859 , time: 131
eps 156 : 47633.8345576 with explore rate: 0.0625477385204 , time: 131
eps 157 : 47848.6124168 with explore rate: 0.0619222611352 , time: 131
eps 158 : 47231.6221633 with explore rate: 0.0613030385239 , time: 131
eps 159 : 47573.0136279 with explore rate: 0.0606900081386 , time: 131
eps 160 : 47579.8036866 with explore rate: 0.0600831080572 , time: 131
eps 161 : 47401.1699232 with explore rate: 0.0594822769767 , time: 132
eps 162 : 47610.9612617 with explore rate: 0.0588874542069 , time: 132
eps 163 : 47985.8256855 with explore rate: 0.0582985796648 , time: 132
eps 164 : 47728.7075491 with explore rate: 0.0577155938682 , time: 131
eps 165 : 47182.3457609 with explore rate: 0.0571384379295 , time: 132
eps 166 : 47472.5996761 with explore rate: 0.0565670535502 , time: 132
eps 167 : 47550.1935939 with explore rate: 0.0560013830147 , time: 132
eps 168 : 47341.4501634 with explore rate: 0.0554413691846 , time: 131
eps 169 : 47155.9863387 with explore rate: 0.0548869554927 , time: 132
eps 170 : 47377.5459086 with explore rate: 0.0543380859378 , time: 131
eps 171 : 47209.851514 with explore rate: 0.0537947050784 , time: 132
eps 172 : 48014.9993422 with explore rate: 0.0532567580276 , time: 132
eps 173 : 47174.6720039 with explore rate: 0.0527241904474 , time: 132
eps 174 : 47211.7388861 with explore rate: 0.0521969485429 , time: 131
eps 175 : 47115.1085777 with explore rate: 0.0516749790575 , time: 132
eps 176 : 46870.0824115 with explore rate: 0.0511582292669 , time: 132
eps 177 : 47031.8736311 with explore rate: 0.0506466469742 , time: 132
eps 178 : 47552.5001391 with explore rate: 0.0501401805045 , time: 132
eps 179 : 47480.2109932 with explore rate: 0.0496387786994 , time: 132
eps 180 : 47776.4758225 with explore rate: 0.0491423909124 , time: 132
eps 181 : 47785.4569201 with explore rate: 0.0486509670033 , time: 132
eps 182 : 47775.0916184 with explore rate: 0.0481644573333 , time: 132
eps 183 : 47390.5483087 with explore rate: 0.0476828127599 , time: 132
eps 184 : 47349.2635928 with explore rate: 0.0472059846323 , time: 132
eps 185 : 47682.3386828 with explore rate: 0.046733924786 , time: 132
eps 186 : 47528.4642832 with explore rate: 0.0462665855382 , time: 132
eps 187 : 47552.6911785 with explore rate: 0.0458039196828 , time: 132
eps 188 : 47334.1317988 with explore rate: 0.0453458804859 , time: 132
eps 189 : 47658.3107239 with explore rate: 0.0448924216811 , time: 132
eps 190 : 47241.9981304 with explore rate: 0.0444434974643 , time: 132
eps 191 : 46879.1241859 with explore rate: 0.0439990624896 , time: 133
eps 192 : 47376.5452839 with explore rate: 0.0435590718647 , time: 132
eps 193 : 46998.7378261 with explore rate: 0.0431234811461 , time: 133
eps 194 : 46882.9474425 with explore rate: 0.0426922463346 , time: 132
eps 195 : 47039.7883645 with explore rate: 0.0422653238713 , time: 133
eps 196 : 46239.9187737 with explore rate: 0.0418426706326 , time: 133
eps 197 : 46859.5529967 with explore rate: 0.0414242439262 , time: 136
eps 198 : 46816.6896145 with explore rate: 0.041010001487 , time: 3180
eps 199 : 46771.6988613 with explore rate: 0.0405999014721 , time: 133
eps 200 : 46598.6273979 with explore rate: 0.0401939024574 , time: 134
eps 201 : 46608.345231 with explore rate: 0.0397919634328 , time: 135
eps 202 : 46917.3141968 with explore rate: 0.0393940437985 , time: 134
eps 203 : 47119.9490896 with explore rate: 0.0390001033605 , time: 135
eps 204 : 47524.4422173 with explore rate: 0.0386101023269 , time: 137
eps 205 : 47600.4857224 with explore rate: 0.0382240013036 , time: 135
eps 206 : 47904.8145131 with explore rate: 0.0378417612906 , time: 135
eps 207 : 47536.912811 with explore rate: 0.0374633436777 , time: 135
eps 208 : 47817.310038 with explore rate: 0.0370887102409 , time: 136
eps 209 : 48057.76912 with explore rate: 0.0367178231385 , time: 135
eps 210 : 47927.5142794 with explore rate: 0.0363506449071 , time: 135
eps 211 : 48195.9439115 with explore rate: 0.035987138458 , time: 136
eps 212 : 48378.5059731 with explore rate: 0.0356272670735 , time: 133
eps 213 : 48769.2001237 with explore rate: 0.0352709944027 , time: 133
eps 214 : 48604.0790193 with explore rate: 0.0349182844587 , time: 133
eps 215 : 48599.0283496 with explore rate: 0.0345691016141 , time: 133
eps 216 : 48796.7556574 with explore rate: 0.034223410598 , time: 133
eps 217 : 49145.5468409 with explore rate: 0.033881176492 , time: 133
eps 218 : 48614.5543355 with explore rate: 0.0335423647271 , time: 133
eps 219 : 48192.3801511 with explore rate: 0.0332069410798 , time: 133
