eps 72 : 46379.8432215 with explore rate: 0.101048495223 loss: 6842126.5 , time: 126
eps 73 : 46203.3232031 with explore rate: 0.0995327677951 loss: 9373159.0 , time: 126
eps 74 : 47855.1228962 with explore rate: 0.0980397762781 loss: 8139835.5 , time: 127
eps 75 : 46899.2847697 with explore rate: 0.096569179634 loss: 7816912.0 , time: 127
eps 76 : 44953.6405806 with explore rate: 0.0951206419395 loss: 7509958.0 , time: 127
eps 77 : 43741.4565441 with explore rate: 0.0936938323104 loss: 5440982.5 , time: 127
eps 78 : 42775.7738128 with explore rate: 0.0922884248257 loss: 3854659.8 , time: 127
eps 79 : 42486.5120878 with explore rate: 0.0909040984533 loss: 3024216.8 , time: 127
eps 80 : 42774.6293095 with explore rate: 0.0895405369765 loss: 4198272.5 , time: 127
eps 81 : 43440.3688232 with explore rate: 0.0881974289219 loss: 3937559.2 , time: 127
eps 82 : 42636.1025654 with explore rate: 0.0868744674881 loss: 3207259.8 , time: 127
eps 83 : 43745.933491 with explore rate: 0.0855713504757 loss: 3806477.0 , time: 127
eps 84 : 45156.852994 with explore rate: 0.0842877802186 loss: 3292544.0 , time: 127
eps 85 : 46484.0547578 with explore rate: 0.0830234635153 loss: 1835725.1 , time: 127
eps 86 : 45326.7444685 with explore rate: 0.0817781115626 loss: 2326233.0 , time: 127
eps 87 : 47551.3856507 with explore rate: 0.0805514398891 loss: 1677204.8 , time: 127
eps 88 : 46986.697576 with explore rate: 0.0793431682908 loss: 1267649.1 , time: 127
eps 89 : 47608.3515322 with explore rate: 0.0781530207664 loss: 4680210.0 , time: 127
eps 90 : 46323.7545283 with explore rate: 0.076980725455 loss: 10070198.0 , time: 127
eps 91 : 46281.3923472 with explore rate: 0.0758260145731 loss: 7995034.0 , time: 127
eps 92 : 46212.9921384 with explore rate: 0.0746886243545 loss: 9767697.0 , time: 127
eps 93 : 45369.1993072 with explore rate: 0.0735682949892 loss: 11759193.0 , time: 127
eps 94 : 44777.2658623 with explore rate: 0.0724647705644 loss: 11417483.0 , time: 127
eps 95 : 46073.3042165 with explore rate: 0.0713777990059 loss: 9298159.0 , time: 127
eps 96 : 45152.1411184 with explore rate: 0.0703071320208 loss: 9319159.0 , time: 128
eps 97 : 45158.5216719 with explore rate: 0.0692525250405 loss: 7872963.5 , time: 128
eps 98 : 44436.0707329 with explore rate: 0.0682137371649 loss: 6151229.0 , time: 127
eps 99 : 44421.0638398 with explore rate: 0.0671905311074 loss: 3998212.0 , time: 128
eps 100 : 45520.4512211 with explore rate: 0.0661826731408 loss: 7677116.5 , time: 128
eps 101 : 47375.1694829 with explore rate: 0.0651899330437 loss: 13492044.0 , time: 128
eps 102 : 48230.3458133 with explore rate: 0.064212084048 loss: 8628409.0 , time: 127
eps 103 : 47830.8303025 with explore rate: 0.0632489027873 loss: 5058871.5 , time: 128
